circuit_type,cnot_count,sq_gate_count,backend,error_rate,timestamp,is_kingston,predicted,residual
bell_state,1,1,ibm_fez,3.32,2026-07-14T16:56:35.498709,0,5.7200548696845,-2.4000548696845
bell_state,1,1,ibm_fez,3.61,2026-07-14T16:56:49.778631,0,5.7200548696845,-2.1100548696845
bell_state,1,1,ibm_fez,4.0,2026-07-14T16:57:51.868181,0,5.7200548696845,-1.7200548696844997
bell_state,1,1,ibm_fez,3.71,2026-07-14T16:58:32.019281,0,5.7200548696845,-2.0100548696844998
bell_state,1,1,ibm_fez,3.61,2026-07-14T17:01:15.449774,0,5.7200548696845,-2.1100548696845
bell_state,1,1,ibm_fez,4.49,2026-07-14T17:01:52.025207,0,5.7200548696845,-1.2300548696844995
bell_state,1,1,ibm_fez,4.88,2026-07-14T17:02:22.763756,0,5.7200548696845,-0.8400548696844998
bell_state,1,1,ibm_fez,4.59,2026-07-14T17:03:03.603842,0,5.7200548696845,-1.1300548696844999
bell_state,1,1,ibm_fez,3.91,2026-07-14T17:03:55.951792,0,5.7200548696845,-1.8100548696844996
bell_state,1,1,ibm_fez,3.52,2026-07-14T17:04:12.611269,0,5.7200548696845,-2.2000548696844997
bell_state,1,1,ibm_fez,3.52,2026-07-14T17:04:32.829001,0,5.7200548696845,-2.2000548696844997
bell_state,1,1,ibm_fez,3.91,2026-07-14T17:04:57.758498,0,5.7200548696845,-1.8100548696844996
bell_state,1,1,ibm_fez,3.61,2026-07-14T17:05:31.364302,0,5.7200548696845,-2.1100548696845
bell_state,1,1,ibm_fez,2.44,2026-07-14T17:05:45.786512,0,5.7200548696845,-3.2800548696844998
bell_state,1,1,ibm_fez,3.91,2026-07-14T17:06:00.826889,0,5.7200548696845,-1.8100548696844996
ghz_state,2,1,ibm_fez,5.76,2026-07-14T17:06:22.931494,0,7.110150891632374,-1.3501508916323743
ghz_state,2,1,ibm_fez,4.88,2026-07-14T17:06:40.466936,0,7.110150891632374,-2.2301508916323742
ghz_state,2,1,ibm_fez,6.15,2026-07-14T17:06:55.883964,0,7.110150891632374,-0.9601508916323738
ghz_state,2,1,ibm_fez,4.98,2026-07-14T17:07:11.475429,0,7.110150891632374,-2.1301508916323737
ghz_state,2,1,ibm_fez,5.57,2026-07-14T17:07:25.938001,0,7.110150891632374,-1.5401508916323738
ghz_state,2,1,ibm_fez,6.64,2026-07-14T17:07:40.299924,0,7.110150891632374,-0.47015089163237445
ghz_state,2,1,ibm_fez,6.35,2026-07-14T17:08:04.398186,0,7.110150891632374,-0.7601508916323745
ghz_state,2,1,ibm_fez,6.05,2026-07-14T17:08:18.161188,0,7.110150891632374,-1.0601508916323743
ghz_state,2,1,ibm_fez,4.2,2026-07-14T17:08:32.597194,0,7.110150891632374,-2.910150891632374
ghz_state,2,1,ibm_fez,4.69,2026-07-14T17:08:55.640250,0,7.110150891632374,-2.4201508916323737
ghz_state,2,1,ibm_fez,5.08,2026-07-14T17:09:17.551872,0,7.110150891632374,-2.030150891632374
ghz_state,2,1,ibm_fez,6.25,2026-07-14T17:09:32.224286,0,7.110150891632374,-0.8601508916323741
ghz_state,2,1,ibm_fez,6.93,2026-07-14T17:09:46.865593,0,7.110150891632374,-0.1801508916323744
ghz_state,2,1,ibm_fez,5.57,2026-07-14T17:10:03.188282,0,7.110150891632374,-1.5401508916323738
ghz_state,2,1,ibm_fez,5.47,2026-07-14T17:10:18.165587,0,7.110150891632374,-1.6401508916323744
ghz_state_4q,3,1,ibm_kingston,4.1,2026-07-15T09:35:56.399009,1,5.00835390946502,-0.9083539094650206
ghz_state_4q,3,1,ibm_kingston,4.1,2026-07-15T09:36:15.119687,1,5.00835390946502,-0.9083539094650206
ghz_state_4q,3,1,ibm_kingston,5.37,2026-07-15T09:36:31.859574,1,5.00835390946502,0.36164609053497987
ghz_state_4q,3,1,ibm_kingston,5.27,2026-07-15T09:36:49.812173,1,5.00835390946502,0.26164609053497934
ghz_state_4q,3,1,ibm_kingston,5.08,2026-07-15T09:37:06.961077,1,5.00835390946502,0.07164609053497983
ghz_state_4q,3,1,ibm_kingston,5.47,2026-07-15T09:37:23.279691,1,5.00835390946502,0.4616460905349795
ghz_state_4q,3,1,ibm_kingston,4.39,2026-07-15T09:37:55.744207,1,5.00835390946502,-0.6183539094650206
ghz_state_4q,3,1,ibm_kingston,3.91,2026-07-15T09:39:12.523942,1,5.00835390946502,-1.09835390946502
ghz_state_4q,3,1,ibm_kingston,4.3,2026-07-15T09:40:09.449855,1,5.00835390946502,-0.7083539094650204
ghz_state_4q,3,1,ibm_kingston,4.3,2026-07-15T09:40:23.609109,1,5.00835390946502,-0.7083539094650204
ghz_state_4q,3,1,ibm_kingston,5.08,2026-07-15T09:40:37.912181,1,5.00835390946502,0.07164609053497983
ghz_state_4q,3,1,ibm_kingston,6.25,2026-07-15T09:41:14.215378,1,5.00835390946502,1.2416460905349798
ghz_state_4q,3,1,ibm_kingston,5.86,2026-07-15T09:41:30.213724,1,5.00835390946502,0.8516460905349801
ghz_state_4q,3,1,ibm_kingston,4.3,2026-07-15T09:42:04.666827,1,5.00835390946502,-0.7083539094650204
ghz_state_4q,3,1,ibm_kingston,6.25,2026-07-15T09:42:18.650231,1,5.00835390946502,1.2416460905349798
