circuit_type,num_qubits,cnot_count,backend,error_rate
bell_state,2,1,ibm_fez,3.32
bell_state,2,1,ibm_fez,3.61
bell_state,2,1,ibm_fez,4.0
bell_state,2,1,ibm_fez,3.71
bell_state,2,1,ibm_fez,3.61
bell_state,2,1,ibm_fez,4.49
bell_state,2,1,ibm_fez,4.88
bell_state,2,1,ibm_fez,4.59
bell_state,2,1,ibm_fez,3.91
bell_state,2,1,ibm_fez,3.52
bell_state,2,1,ibm_fez,3.52
bell_state,2,1,ibm_fez,3.91
bell_state,2,1,ibm_fez,3.61
bell_state,2,1,ibm_fez,2.44
bell_state,2,1,ibm_fez,3.91
ghz_state,3,2,ibm_fez,5.76
ghz_state,3,2,ibm_fez,4.88
ghz_state,3,2,ibm_fez,6.15
ghz_state,3,2,ibm_fez,4.98
ghz_state,3,2,ibm_fez,5.57
ghz_state,3,2,ibm_fez,6.64
ghz_state,3,2,ibm_fez,6.35
ghz_state,3,2,ibm_fez,6.05
ghz_state,3,2,ibm_fez,4.2
ghz_state,3,2,ibm_fez,4.69
ghz_state,3,2,ibm_fez,5.08
ghz_state,3,2,ibm_fez,6.25
ghz_state,3,2,ibm_fez,6.93
ghz_state,3,2,ibm_fez,5.57
ghz_state,3,2,ibm_fez,5.47
ghz_state_4q,4,3,ibm_kingston,4.1
ghz_state_4q,4,3,ibm_kingston,4.1
ghz_state_4q,4,3,ibm_kingston,5.37
ghz_state_4q,4,3,ibm_kingston,5.27
ghz_state_4q,4,3,ibm_kingston,5.08
ghz_state_4q,4,3,ibm_kingston,5.47
ghz_state_4q,4,3,ibm_kingston,4.39
ghz_state_4q,4,3,ibm_kingston,3.91
ghz_state_4q,4,3,ibm_kingston,4.3
ghz_state_4q,4,3,ibm_kingston,4.3
ghz_state_4q,4,3,ibm_kingston,5.08
ghz_state_4q,4,3,ibm_kingston,6.25
ghz_state_4q,4,3,ibm_kingston,5.86
ghz_state_4q,4,3,ibm_kingston,4.3
ghz_state_4q,4,3,ibm_kingston,6.25
ghz_state_5q,5,4,ibm_kingston,7.03
ghz_state_5q,5,4,ibm_kingston,6.25
ghz_state_5q,5,4,ibm_kingston,6.05
ghz_state_5q,5,4,ibm_kingston,7.13
ghz_state_5q,5,4,ibm_kingston,6.15
ghz_state_5q,5,4,ibm_kingston,5.76
ghz_state_5q,5,4,ibm_kingston,6.54
ghz_state_5q,5,4,ibm_kingston,6.64
ghz_state_5q,5,4,ibm_kingston,6.15
ghz_state_5q,5,4,ibm_kingston,5.47
ghz_state_5q,5,4,ibm_kingston,6.84
ghz_state_5q,5,4,ibm_kingston,6.45
ghz_state_5q,5,4,ibm_kingston,6.15
ghz_state_5q,5,4,ibm_kingston,6.64
ghz_state_5q,5,4,ibm_kingston,6.64
