circuit_type,single_qubit_gates,backend,error_rate
gate_stress_12,12,ibm_fez,6.74
gate_stress_12,12,ibm_fez,6.35
gate_stress_12,12,ibm_fez,6.35
gate_stress_12,12,ibm_fez,9.28
gate_stress_12,12,ibm_fez,6.45
gate_stress_12,12,ibm_fez,6.05
gate_stress_12,12,ibm_fez,6.84
gate_stress_12,12,ibm_fez,8.69
gate_stress_12,12,ibm_fez,6.74
gate_stress_12,12,ibm_fez,8.3
gate_stress_12,12,ibm_fez,7.52
gate_stress_12,12,ibm_fez,6.15
gate_stress_12,12,ibm_fez,6.15
gate_stress_12,12,ibm_fez,7.42
gate_stress_12,12,ibm_fez,7.03
gate_stress_4,4,ibm_fez,6.84
gate_stress_4,4,ibm_fez,6.64
gate_stress_4,4,ibm_fez,6.05
gate_stress_4,4,ibm_fez,5.86
gate_stress_4,4,ibm_fez,5.57
gate_stress_4,4,ibm_fez,6.15
gate_stress_4,4,ibm_fez,5.37
gate_stress_4,4,ibm_fez,5.47
gate_stress_4,4,ibm_fez,6.25
gate_stress_4,4,ibm_fez,5.86
gate_stress_4,4,ibm_fez,7.71
gate_stress_4,4,ibm_fez,6.25
gate_stress_4,4,ibm_fez,6.15
gate_stress_4,4,ibm_fez,7.32
gate_stress_4,4,ibm_fez,6.15
gate_stress_8,8,ibm_fez,5.96
gate_stress_8,8,ibm_fez,5.37
gate_stress_8,8,ibm_fez,6.25
gate_stress_8,8,ibm_fez,5.66
gate_stress_8,8,ibm_fez,6.74
gate_stress_8,8,ibm_fez,4.98
gate_stress_8,8,ibm_fez,4.98
gate_stress_8,8,ibm_fez,5.57
gate_stress_8,8,ibm_fez,5.86
gate_stress_8,8,ibm_fez,6.15
gate_stress_8,8,ibm_fez,5.18
gate_stress_8,8,ibm_fez,6.45
gate_stress_8,8,ibm_fez,6.54
gate_stress_8,8,ibm_fez,6.15
gate_stress_8,8,ibm_fez,4.49
