circuit_type,sq_gate_count,backend,error_rate
gate_stress_0_v2,1,ibm_fez,5.96
gate_stress_0_v2,1,ibm_fez,6.25
gate_stress_0_v2,1,ibm_fez,4.1
gate_stress_0_v2,1,ibm_fez,5.08
gate_stress_0_v2,1,ibm_fez,6.15
gate_stress_0_v2,1,ibm_fez,6.25
gate_stress_0_v2,1,ibm_fez,4.59
gate_stress_0_v2,1,ibm_fez,4.98
gate_stress_0_v2,1,ibm_fez,4.79
gate_stress_0_v2,1,ibm_fez,4.79
gate_stress_0_v2,1,ibm_fez,3.03
gate_stress_0_v2,1,ibm_fez,5.57
gate_stress_0_v2,1,ibm_fez,4.79
gate_stress_0_v2,1,ibm_fez,5.27
gate_stress_0_v2,1,ibm_fez,3.81
gate_stress_12_v2,13,ibm_fez,6.64
gate_stress_12_v2,13,ibm_fez,7.03
gate_stress_12_v2,13,ibm_fez,10.84
gate_stress_12_v2,13,ibm_fez,7.81
gate_stress_12_v2,13,ibm_fez,6.35
gate_stress_12_v2,13,ibm_fez,7.62
gate_stress_12_v2,13,ibm_fez,9.77
gate_stress_12_v2,13,ibm_fez,7.23
gate_stress_12_v2,13,ibm_fez,6.64
gate_stress_12_v2,13,ibm_fez,9.38
gate_stress_12_v2,13,ibm_fez,6.15
gate_stress_12_v2,13,ibm_fez,8.98
gate_stress_12_v2,13,ibm_fez,7.91
gate_stress_12_v2,13,ibm_fez,6.35
gate_stress_12_v2,13,ibm_fez,7.62
gate_stress_4_v2,5,ibm_fez,5.96
gate_stress_4_v2,5,ibm_fez,5.96
gate_stress_4_v2,5,ibm_fez,5.96
gate_stress_4_v2,5,ibm_fez,5.37
gate_stress_4_v2,5,ibm_fez,5.86
gate_stress_4_v2,5,ibm_fez,5.66
gate_stress_4_v2,5,ibm_fez,6.15
gate_stress_4_v2,5,ibm_fez,6.64
gate_stress_4_v2,5,ibm_fez,6.64
gate_stress_4_v2,5,ibm_fez,6.15
gate_stress_4_v2,5,ibm_fez,6.25
gate_stress_4_v2,5,ibm_fez,6.74
gate_stress_4_v2,5,ibm_fez,6.93
gate_stress_4_v2,5,ibm_fez,5.57
gate_stress_4_v2,5,ibm_fez,5.37
gate_stress_8_v2,9,ibm_fez,5.96
gate_stress_8_v2,9,ibm_fez,5.96
gate_stress_8_v2,9,ibm_fez,6.05
gate_stress_8_v2,9,ibm_fez,6.64
gate_stress_8_v2,9,ibm_fez,5.66
gate_stress_8_v2,9,ibm_fez,8.5
gate_stress_8_v2,9,ibm_fez,8.11
gate_stress_8_v2,9,ibm_fez,6.64
gate_stress_8_v2,9,ibm_fez,7.13
gate_stress_8_v2,9,ibm_fez,5.86
gate_stress_8_v2,9,ibm_fez,8.79
gate_stress_8_v2,9,ibm_fez,5.96
gate_stress_8_v2,9,ibm_fez,6.54
gate_stress_8_v2,9,ibm_fez,7.62
gate_stress_8_v2,9,ibm_fez,7.42
