run_number,backend,shots,count_00,count_11,count_01,count_10,error_rate
1,ibm_fez,1024,492,479,20,33,5.18
2,ibm_fez,1024,515,463,14,32,4.49
3,ibm_fez,1024,491,484,19,30,4.79
4,ibm_fez,1024,500,467,22,35,5.57
5,ibm_fez,1024,493,464,29,38,6.54
6,ibm_fez,1024,500,484,17,23,3.91
7,ibm_fez,1024,474,495,19,36,5.37
8,ibm_fez,1024,492,486,14,32,4.49
9,ibm_fez,1024,532,467,14,11,2.44
10,ibm_fez,1024,473,507,15,29,4.3
11,ibm_fez,1024,508,469,15,32,4.59
12,ibm_fez,1024,493,470,30,31,5.96
13,ibm_fez,1024,486,490,15,33,4.69
14,ibm_fez,1024,487,492,18,27,4.39
15,ibm_fez,1024,516,466,14,28,4.1
16,ibm_fez,1024,505,439,51,29,7.81
17,ibm_fez,1024,512,458,24,30,5.27
18,ibm_fez,1024,476,487,30,31,5.96
19,ibm_fez,1024,475,507,16,26,4.1
20,ibm_fez,1024,515,468,18,23,4.0
