circuit_type,num_qubits,run_number,backend,shots,error_rate
bell_state,2,1,ibm_fez,1024,3.32
bell_state,2,2,ibm_fez,1024,3.61
bell_state,2,3,ibm_fez,1024,4.0
bell_state,2,4,ibm_fez,1024,3.71
bell_state,2,5,ibm_fez,1024,3.61
bell_state,2,6,ibm_fez,1024,4.49
bell_state,2,7,ibm_fez,1024,4.88
bell_state,2,8,ibm_fez,1024,4.59
bell_state,2,9,ibm_fez,1024,3.91
bell_state,2,10,ibm_fez,1024,3.52
bell_state,2,11,ibm_fez,1024,3.52
bell_state,2,12,ibm_fez,1024,3.91
bell_state,2,13,ibm_fez,1024,3.61
bell_state,2,14,ibm_fez,1024,2.44
bell_state,2,15,ibm_fez,1024,3.91
ghz_state,3,1,ibm_fez,1024,5.76
ghz_state,3,2,ibm_fez,1024,4.88
ghz_state,3,3,ibm_fez,1024,6.15
ghz_state,3,4,ibm_fez,1024,4.98
ghz_state,3,5,ibm_fez,1024,5.57
ghz_state,3,6,ibm_fez,1024,6.64
ghz_state,3,7,ibm_fez,1024,6.35
ghz_state,3,8,ibm_fez,1024,6.05
ghz_state,3,9,ibm_fez,1024,4.2
ghz_state,3,10,ibm_fez,1024,4.69
ghz_state,3,11,ibm_fez,1024,5.08
ghz_state,3,12,ibm_fez,1024,6.25
ghz_state,3,13,ibm_fez,1024,6.93
ghz_state,3,14,ibm_fez,1024,5.57
ghz_state,3,15,ibm_fez,1024,5.47
independent_hadamards,2,1,ibm_fez,1024,3.32
independent_hadamards,2,2,ibm_fez,1024,4.2
independent_hadamards,2,3,ibm_fez,1024,2.73
independent_hadamards,2,4,ibm_fez,1024,1.86
independent_hadamards,2,5,ibm_fez,1024,1.66
independent_hadamards,2,6,ibm_fez,1024,2.54
independent_hadamards,2,7,ibm_fez,1024,1.07
independent_hadamards,2,8,ibm_fez,1024,1.46
independent_hadamards,2,9,ibm_fez,1024,1.46
independent_hadamards,2,10,ibm_fez,1024,1.66
independent_hadamards,2,11,ibm_fez,1024,2.73
independent_hadamards,2,12,ibm_fez,1024,3.12
independent_hadamards,2,13,ibm_fez,1024,2.34
independent_hadamards,2,14,ibm_fez,1024,1.56
independent_hadamards,2,15,ibm_fez,1024,0.68
single_superposition,1,1,ibm_fez,1024,
single_superposition,1,2,ibm_fez,1024,
single_superposition,1,3,ibm_fez,1024,
single_superposition,1,4,ibm_fez,1024,
single_superposition,1,5,ibm_fez,1024,
single_superposition,1,6,ibm_fez,1024,
single_superposition,1,7,ibm_fez,1024,
single_superposition,1,8,ibm_fez,1024,
single_superposition,1,9,ibm_fez,1024,
single_superposition,1,10,ibm_fez,1024,
single_superposition,1,11,ibm_fez,1024,
single_superposition,1,12,ibm_fez,1024,
single_superposition,1,13,ibm_fez,1024,
single_superposition,1,14,ibm_fez,1024,
single_superposition,1,15,ibm_fez,1024,
