circuit_type,num_qubits,run_number,backend,shots,error_rate,raw_counts
bell_state,2,1,ibm_fez,1024,3.32,"{""11"": 464, ""00"": 526, ""01"": 14, ""10"": 20}"
bell_state,2,2,ibm_fez,1024,3.61,"{""00"": 535, ""11"": 452, ""01"": 20, ""10"": 17}"
bell_state,2,3,ibm_fez,1024,4.0,"{""00"": 501, ""10"": 21, ""11"": 482, ""01"": 20}"
bell_state,2,4,ibm_fez,1024,3.71,"{""11"": 490, ""00"": 496, ""10"": 24, ""01"": 14}"
bell_state,2,5,ibm_fez,1024,3.61,"{""00"": 494, ""11"": 493, ""10"": 23, ""01"": 14}"
bell_state,2,6,ibm_fez,1024,4.49,"{""11"": 461, ""00"": 517, ""01"": 19, ""10"": 27}"
bell_state,2,7,ibm_fez,1024,4.88,"{""00"": 522, ""11"": 452, ""10"": 30, ""01"": 20}"
bell_state,2,8,ibm_fez,1024,4.59,"{""00"": 487, ""11"": 490, ""10"": 33, ""01"": 14}"
bell_state,2,9,ibm_fez,1024,3.91,"{""11"": 469, ""00"": 515, ""01"": 14, ""10"": 26}"
bell_state,2,10,ibm_fez,1024,3.52,"{""00"": 507, ""11"": 481, ""10"": 22, ""01"": 14}"
bell_state,2,11,ibm_fez,1024,3.52,"{""00"": 481, ""11"": 507, ""10"": 21, ""01"": 15}"
bell_state,2,12,ibm_fez,1024,3.91,"{""11"": 500, ""00"": 484, ""10"": 31, ""01"": 9}"
bell_state,2,13,ibm_fez,1024,3.61,"{""01"": 16, ""00"": 502, ""11"": 485, ""10"": 21}"
bell_state,2,14,ibm_fez,1024,2.44,"{""00"": 512, ""11"": 487, ""01"": 8, ""10"": 17}"
bell_state,2,15,ibm_fez,1024,3.91,"{""01"": 13, ""00"": 501, ""11"": 483, ""10"": 27}"
ghz_state,3,1,ibm_fez,1024,5.76,"{""000"": 515, ""111"": 450, ""110"": 25, ""001"": 14, ""101"": 10, ""010"": 2, ""100"": 4, ""011"": 4}"
ghz_state,3,2,ibm_fez,1024,4.88,"{""000"": 537, ""111"": 437, ""001"": 14, ""101"": 6, ""100"": 6, ""011"": 3, ""110"": 15, ""010"": 6}"
ghz_state,3,3,ibm_fez,1024,6.15,"{""111"": 466, ""000"": 495, ""101"": 10, ""110"": 24, ""001"": 9, ""011"": 8, ""010"": 5, ""100"": 7}"
ghz_state,3,4,ibm_fez,1024,4.98,"{""111"": 494, ""000"": 479, ""001"": 6, ""110"": 19, ""101"": 14, ""010"": 4, ""011"": 6, ""100"": 2}"
ghz_state,3,5,ibm_fez,1024,5.57,"{""111"": 459, ""000"": 508, ""001"": 9, ""110"": 19, ""010"": 7, ""100"": 5, ""011"": 10, ""101"": 7}"
ghz_state,3,6,ibm_fez,1024,6.64,"{""111"": 470, ""000"": 486, ""001"": 8, ""110"": 23, ""010"": 8, ""100"": 13, ""011"": 8, ""101"": 8}"
ghz_state,3,7,ibm_fez,1024,6.35,"{""000"": 513, ""111"": 446, ""001"": 21, ""100"": 7, ""011"": 3, ""110"": 16, ""101"": 13, ""010"": 5}"
ghz_state,3,8,ibm_fez,1024,6.05,"{""000"": 483, ""111"": 479, ""100"": 5, ""110"": 23, ""001"": 11, ""101"": 16, ""011"": 6, ""010"": 1}"
ghz_state,3,9,ibm_fez,1024,4.2,"{""000"": 513, ""111"": 468, ""110"": 20, ""100"": 4, ""101"": 7, ""010"": 4, ""001"": 7, ""011"": 1}"
ghz_state,3,10,ibm_fez,1024,4.69,"{""111"": 479, ""000"": 497, ""100"": 3, ""110"": 18, ""001"": 10, ""011"": 2, ""010"": 3, ""101"": 12}"
ghz_state,3,11,ibm_fez,1024,5.08,"{""000"": 487, ""111"": 485, ""110"": 13, ""101"": 9, ""011"": 10, ""100"": 5, ""001"": 12, ""010"": 3}"
ghz_state,3,12,ibm_fez,1024,6.25,"{""000"": 513, ""111"": 447, ""110"": 26, ""001"": 20, ""010"": 5, ""100"": 4, ""101"": 7, ""011"": 2}"
ghz_state,3,13,ibm_fez,1024,6.93,"{""000"": 508, ""110"": 27, ""111"": 445, ""001"": 14, ""010"": 5, ""101"": 12, ""100"": 6, ""011"": 7}"
ghz_state,3,14,ibm_fez,1024,5.57,"{""000"": 495, ""111"": 472, ""110"": 21, ""100"": 7, ""010"": 10, ""101"": 5, ""001"": 10, ""011"": 4}"
ghz_state,3,15,ibm_fez,1024,5.47,"{""000"": 503, ""001"": 11, ""111"": 465, ""110"": 25, ""100"": 6, ""010"": 2, ""101"": 6, ""011"": 6}"
independent_hadamards,2,1,ibm_fez,1024,52.34,"{""01"": 269, ""10"": 267, ""11"": 266, ""00"": 222}"
independent_hadamards,2,2,ibm_fez,1024,49.71,"{""01"": 289, ""11"": 266, ""00"": 249, ""10"": 220}"
independent_hadamards,2,3,ibm_fez,1024,52.34,"{""01"": 278, ""10"": 258, ""00"": 228, ""11"": 260}"
independent_hadamards,2,4,ibm_fez,1024,48.93,"{""10"": 259, ""01"": 242, ""11"": 272, ""00"": 251}"
independent_hadamards,2,5,ibm_fez,1024,51.46,"{""01"": 254, ""11"": 246, ""10"": 273, ""00"": 251}"
independent_hadamards,2,6,ibm_fez,1024,50.88,"{""10"": 280, ""11"": 245, ""01"": 241, ""00"": 258}"
independent_hadamards,2,7,ibm_fez,1024,49.9,"{""11"": 255, ""01"": 265, ""10"": 246, ""00"": 258}"
independent_hadamards,2,8,ibm_fez,1024,50.68,"{""01"": 260, ""11"": 264, ""10"": 259, ""00"": 241}"
independent_hadamards,2,9,ibm_fez,1024,49.71,"{""10"": 251, ""01"": 258, ""00"": 246, ""11"": 269}"
independent_hadamards,2,10,ibm_fez,1024,49.8,"{""10"": 253, ""11"": 272, ""01"": 257, ""00"": 242}"
independent_hadamards,2,11,ibm_fez,1024,49.02,"{""00"": 238, ""11"": 284, ""10"": 253, ""01"": 249}"
independent_hadamards,2,12,ibm_fez,1024,48.14,"{""10"": 269, ""00"": 267, ""11"": 264, ""01"": 224}"
independent_hadamards,2,13,ibm_fez,1024,52.34,"{""00"": 233, ""10"": 268, ""11"": 255, ""01"": 268}"
independent_hadamards,2,14,ibm_fez,1024,49.02,"{""01"": 243, ""11"": 253, ""10"": 259, ""00"": 269}"
independent_hadamards,2,15,ibm_fez,1024,50.39,"{""10"": 253, ""11"": 255, ""00"": 253, ""01"": 263}"
single_superposition,1,1,ibm_fez,1024,,"{""1"": 542, ""0"": 482}"
single_superposition,1,2,ibm_fez,1024,,"{""0"": 489, ""1"": 535}"
single_superposition,1,3,ibm_fez,1024,,"{""0"": 501, ""1"": 523}"
single_superposition,1,4,ibm_fez,1024,,"{""0"": 548, ""1"": 476}"
single_superposition,1,5,ibm_fez,1024,,"{""0"": 492, ""1"": 532}"
single_superposition,1,6,ibm_fez,1024,,"{""1"": 545, ""0"": 479}"
single_superposition,1,7,ibm_fez,1024,,"{""1"": 515, ""0"": 509}"
single_superposition,1,8,ibm_fez,1024,,"{""1"": 542, ""0"": 482}"
single_superposition,1,9,ibm_fez,1024,,"{""1"": 503, ""0"": 521}"
single_superposition,1,10,ibm_fez,1024,,"{""1"": 501, ""0"": 523}"
single_superposition,1,11,ibm_fez,1024,,"{""1"": 542, ""0"": 482}"
single_superposition,1,12,ibm_fez,1024,,"{""1"": 536, ""0"": 488}"
single_superposition,1,13,ibm_fez,1024,,"{""0"": 532, ""1"": 492}"
single_superposition,1,14,ibm_fez,1024,,"{""0"": 495, ""1"": 529}"
single_superposition,1,15,ibm_fez,1024,,"{""1"": 518, ""0"": 506}"
